Test,Tx Power,Distance,Scenarios,RSSI (dbm),Throughput (KB/S),Throughput (Kbps),Current (A),Power (W)
2276,N3,10,Workshop,-70,9.00,71.97,0.114,0.36539
2277,P6,10,Wall,-73,7.44,59.52,0.124,0.40413
2278,P6,30,Workshop,-76,3.35,26.83,0.126,0.41734
2279,N12,35,Workshop,-79,3.20,25.56,0.107,0.33270
2280,N9,50,Workshop,-98,0.70,5.60,0.100,0.34454
2281,N12,30,Lobby,-95,0.70,5.60,0.107,0.33391
2282,N3,55,Workshop,-98,0.70,5.60,0.106,0.36076
2283,N12,15,Wall,-100,1.59,12.70,0.101,0.34590
2284,N3,10,Workshop,-78,2.60,20.77,0.112,0.37177
2285,N9,25,Crowded,-100,0.95,7.63,0.096,0.34399
2286,N12,30,Lobby,-90,1.13,9.05,0.101,0.34368
2287,N0,15,Crowded,-92,1.07,8.59,0.115,0.37220
2288,P3,25,Crowded,-98,1.65,13.23,0.121,0.37701
2289,N3,5,Wall,-84,1.57,12.60,0.108,0.36567
2290,N9,45,Crowded,-100,0.75,5.98,0.097,0.34839
2291,N3,25,Workshop,-78,3.73,29.86,0.109,0.36919
2292,P3,15,Crowded,-74,7.54,60.29,0.120,0.39858
2293,N0,35,Lobby,-74,4.51,36.08,0.112,0.36811
2294,P6,20,Lobby,-63,8.15,65.19,0.125,0.40581
2295,N6,20,Crowded,-81,3.92,31.40,0.105,0.36304
2296,N6,30,Lobby,-83,0.70,5.60,0.107,0.33821
2297,N0,5,Lobby,-57,6.55,52.43,0.108,0.36596
2298,N3,25,Wall,-100,1.34,10.70,0.110,0.37399
2299,N12,20,Crowded,-100,1.87,14.97,0.106,0.35239
2300,N6,45,Workshop,-88,1.81,14.51,0.103,0.34905
2301,N12,30,Lobby,-82,3.56,28.51,0.106,0.35049
2302,N9,35,Lobby,-100,1.07,8.59,0.098,0.34074
2303,N9,55,Lobby,-100,0.73,5.87,0.104,0.33397
2304,N9,40,Crowded,-94,0.70,5.60,0.102,0.33446
2305,N0,30,Workshop,-67,2.70,21.64,0.111,0.37048
2306,N6,5,Lobby,-60,9.90,79.22,0.108,0.34848
2307,N6,40,Lobby,-90,1.51,12.05,0.104,0.34861
2308,N0,20,Workshop,-76,2.98,23.84,0.113,0.35983
2309,N3,25,Lobby,-79,4.01,32.11,0.109,0.36766
2310,P3,60,Lobby,-70,4.62,36.94,0.113,0.39353
2311,N12,55,Lobby,-82,1.80,14.37,0.101,0.35463
2312,N9,10,Wall,-85,2.88,23.07,0.101,0.33162
2313,P3,0,Wall,-40,11.95,95.62,0.117,0.39460
2314,P3,15,Crowded,-76,2.70,21.60,0.117,0.40447
2315,P3,60,Workshop,-57,8.45,67.60,0.122,0.39402
2316,N6,20,Crowded,-86,1.18,9.41,0.104,0.35271
2317,N3,40,Lobby,-93,1.28,10.28,0.115,0.35592
2318,N12,5,Crowded,-87,1.05,8.42,0.101,0.34382
2319,N6,25,Crowded,-87,2.02,16.15,0.103,0.33440
2320,N9,10,Crowded,-89,3.00,24.01,0.101,0.32904
2321,N0,35,Lobby,-75,6.40,51.19,0.116,0.37817
2322,N3,5,Lobby,-58,10.89,87.10,0.113,0.36166
2323,N6,40,Lobby,-78,4.80,38.36,0.106,0.35374
2324,N6,15,Lobby,-59,8.67,69.35,0.101,0.35115
2325,N3,50,Crowded,-98,0.70,5.60,0.113,0.36538
2326,N0,25,Wall,-91,1.75,13.99,0.111,0.37328
2327,N12,35,Lobby,-80,3.34,26.74,0.102,0.35679
2328,N3,40,Wall,-100,0.70,5.60,0.112,0.35936
2329,N3,20,Lobby,-79,2.19,17.55,0.110,0.37834
2330,N6,10,Lobby,-66,5.01,40.06,0.099,0.34739
2331,N6,10,Workshop,-56,10.52,84.16,0.109,0.33410
2332,N12,35,Workshop,-84,0.70,5.60,0.106,0.35397
2333,N12,35,Crowded,-90,3.02,24.15,0.109,0.34428
2334,N3,20,Workshop,-71,5.05,40.39,0.106,0.37969
2335,N12,45,Lobby,-83,0.70,5.60,0.105,0.33724
2336,N6,0,Crowded,-48,10.52,84.20,0.105,0.34000
2337,N6,35,Lobby,-76,1.84,14.71,0.106,0.34270
2338,N12,35,Crowded,-100,0.70,5.60,0.105,0.34038
2339,N6,20,Crowded,-97,1.66,13.29,0.106,0.36420
2340,N9,0,Lobby,-34,12.65,101.21,0.098,0.35077
2341,P6,15,Lobby,-46,7.88,63.04,0.125,0.40416
2342,P3,10,Workshop,-61,8.86,70.87,0.121,0.40349
2343,P3,0,Lobby,-41,9.03,72.27,0.118,0.38757
2344,N9,60,Lobby,-92,1.65,13.23,0.099,0.34117
2345,P6,30,Workshop,-70,4.86,38.87,0.121,0.39781
2346,N3,30,Workshop,-75,3.49,27.96,0.118,0.36189
2347,N3,30,Crowded,-97,0.72,5.78,0.110,0.36801
2348,P6,40,Workshop,-100,0.70,5.60,0.128,0.41606
2349,N0,55,Lobby,-90,1.00,8.01,0.116,0.37297
2350,N9,50,Workshop,-84,2.42,19.38,0.101,0.33459
2351,P3,15,Lobby,-91,0.70,5.60,0.122,0.40435
2352,N3,40,Workshop,-95,1.28,10.22,0.117,0.37767
2353,N3,50,Workshop,-100,0.81,6.47,0.111,0.36913
2354,P6,20,Workshop,-77,4.57,36.59,0.127,0.40283
2355,N3,45,Crowded,-82,2.34,18.75,0.115,0.37183
2356,N0,45,Lobby,-86,2.09,16.75,0.110,0.37372
2357,N6,20,Crowded,-94,0.98,7.87,0.106,0.35138
2358,N0,55,Wall,-100,1.04,8.32,0.112,0.38126
2359,P3,25,Lobby,-61,5.00,39.97,0.120,0.39377
2360,P3,45,Lobby,-93,1.34,10.70,0.120,0.38387
2361,P3,0,Lobby,-43,9.07,72.55,0.117,0.40038
2362,N12,10,Crowded,-97,1.27,10.14,0.104,0.35494
2363,N12,25,Lobby,-90,1.80,14.41,0.099,0.35994
2364,N6,5,Workshop,-63,8.21,65.70,0.103,0.36086
2365,N6,5,Crowded,-89,1.25,9.98,0.101,0.34340
2366,N0,0,Lobby,-47,10.80,86.37,0.115,0.38702
2367,N3,25,Workshop,-97,1.16,9.25,0.108,0.37024
2368,N12,10,Workshop,-84,1.19,9.51,0.108,0.34551
2369,N12,55,Lobby,-100,1.44,11.52,0.102,0.34365
2370,P3,35,Wall,-100,0.70,5.60,0.115,0.39164
2371,N3,10,Lobby,-61,4.26,34.09,0.110,0.37391
2372,N9,0,Crowded,-57,4.74,37.94,0.094,0.35068
2373,N12,60,Lobby,-93,1.43,11.42,0.101,0.35180
2374,N0,45,Lobby,-78,2.26,18.09,0.108,0.35214
2375,N0,35,Workshop,-78,0.70,5.60,0.111,0.38328
2376,P3,25,Workshop,-78,4.51,36.11,0.116,0.39592
2377,N6,45,Wall,-100,1.34,10.73,0.100,0.33406
2378,N12,50,Workshop,-100,1.37,10.92,0.099,0.33488
2379,N3,15,Lobby,-80,2.33,18.66,0.115,0.37791
2380,N0,15,Wall,-78,3.58,28.67,0.113,0.36754
2381,N0,25,Lobby,-77,2.50,20.01,0.109,0.37829
2382,N9,60,Wall,-100,0.70,5.60,0.103,0.33502
2383,N12,20,Workshop,-94,0.70,5.60,0.107,0.34785
2384,N0,25,Lobby,-68,10.56,84.46,0.112,0.37235
2385,N9,10,Wall,-96,0.70,5.60,0.102,0.32852
2386,N6,5,Workshop,-68,4.13,33.07,0.104,0.34105
2387,N3,15,Wall,-100,2.02,16.18,0.110,0.38064
2388,N0,5,Lobby,-69,3.73,29.82,0.116,0.37039
2389,P6,45,Crowded,-100,1.41,11.26,0.129,0.40715
2390,N6,40,Lobby,-86,2.09,16.70,0.105,0.34059
2391,N0,25,Crowded,-81,1.31,10.44,0.110,0.38581
2392,N6,30,Lobby,-89,1.92,15.35,0.105,0.35412
2393,N3,0,Lobby,-50,12.89,103.16,0.109,0.36397
2394,N6,40,Lobby,-96,1.48,11.82,0.113,0.35214
2395,N6,40,Workshop,-98,1.63,13.02,0.104,0.35029
2396,N9,45,Lobby,-88,1.10,8.82,0.105,0.32719
2397,N6,5,Workshop,-81,1.71,13.69,0.102,0.34772
2398,N3,45,Workshop,-82,0.99,7.89,0.109,0.36207
2399,N6,25,Crowded,-94,1.52,12.16,0.100,0.35140
2400,N9,25,Lobby,-80,4.02,32.14,0.101,0.33173
2401,N12,40,Lobby,-81,0.70,5.60,0.101,0.35355
2402,N12,45,Wall,-100,1.09,8.74,0.108,0.34666
2403,N6,55,Workshop,-98,2.07,16.55,0.105,0.35013
2404,N6,30,Workshop,-90,1.67,13.36,0.110,0.35568
2405,N6,45,Crowded,-100,1.18,9.47,0.104,0.34512
2406,N6,35,Workshop,-70,4.97,39.80,0.111,0.34781
2407,N9,15,Crowded,-84,0.70,5.60,0.102,0.34450
2408,N9,35,Workshop,-91,1.82,14.52,0.104,0.33455
2409,P6,15,Lobby,-48,11.59,92.73,0.122,0.40702
2410,N6,25,Workshop,-100,0.85,6.78,0.102,0.35531
2411,N3,10,Crowded,-74,4.25,34.02,0.111,0.36519
2412,N6,55,Wall,-100,0.74,5.90,0.108,0.34883
2413,P3,25,Lobby,-79,2.30,18.38,0.120,0.38957
2414,P6,30,Workshop,-90,1.77,14.14,0.119,0.41242
2415,N3,15,Crowded,-81,2.40,19.24,0.113,0.36716
2416,N3,45,Lobby,-77,2.70,21.57,0.111,0.37199
2417,N3,45,Workshop,-84,1.91,15.28,0.107,0.36637
2418,N9,15,Wall,-91,0.70,5.60,0.103,0.33329
2419,N6,35,Workshop,-69,3.23,25.81,0.108,0.34438
2420,N9,30,Lobby,-95,0.70,5.60,0.101,0.34132
2421,N3,15,Wall,-100,0.93,7.42,0.113,0.36767
2422,N6,0,Lobby,-58,8.59,68.70,0.109,0.34902
2423,N12,20,Workshop,-86,2.71,21.64,0.106,0.34148
2424,N6,55,Lobby,-98,0.89,7.10,0.105,0.34275
2425,N3,60,Wall,-100,0.87,6.97,0.102,0.37138
2426,N12,15,Lobby,-71,5.70,45.61,0.101,0.34619
2427,P3,45,Crowded,-87,0.87,6.99,0.121,0.38939
2428,P6,25,Crowded,-97,1.57,12.59,0.126,0.40624
2429,N6,35,Lobby,-76,2.31,18.46,0.109,0.34583
2430,N6,5,Workshop,-53,7.93,63.43,0.108,0.34942
2431,N3,20,Workshop,-86,1.28,10.23,0.115,0.36829
2432,N6,40,Lobby,-92,2.80,22.41,0.105,0.36478
2433,N6,5,Lobby,-55,12.15,97.20,0.107,0.36786
2434,P3,40,Workshop,-74,3.41,27.28,0.115,0.40291
2435,N0,5,Lobby,-72,7.65,61.17,0.112,0.37135
2436,P3,55,Workshop,-95,1.75,14.04,0.121,0.38488
2437,N0,0,Wall,-42,9.15,73.22,0.112,0.37659
2438,N3,45,Lobby,-90,0.86,6.86,0.113,0.35993
2439,N3,15,Workshop,-54,8.39,67.11,0.113,0.35991
2440,N6,10,Lobby,-82,3.49,27.95,0.109,0.33233
2441,P3,10,Workshop,-87,0.94,7.55,0.123,0.38623
2442,P3,45,Lobby,-78,3.12,24.97,0.121,0.38429
2443,N0,40,Crowded,-90,1.59,12.75,0.120,0.36658
2444,N6,45,Crowded,-87,0.83,6.67,0.107,0.34921
2445,N3,20,Crowded,-72,4.00,32.00,0.106,0.35270
2446,N6,30,Workshop,-72,3.07,24.52,0.106,0.34587
2447,N9,15,Lobby,-84,1.83,14.60,0.099,0.33337
2448,N3,35,Workshop,-69,4.50,36.02,0.110,0.37808
2449,N3,55,Lobby,-85,0.70,5.60,0.117,0.36824
2450,N0,50,Lobby,-80,3.09,24.75,0.115,0.36295
2451,N3,15,Lobby,-65,8.96,71.71,0.111,0.37016
2452,N6,40,Lobby,-92,1.39,11.14,0.110,0.34336
2453,N3,30,Workshop,-87,1.65,13.22,0.116,0.36984
2454,P3,45,Wall,-100,1.19,9.52,0.119,0.40161
2455,N6,20,Lobby,-85,0.93,7.41,0.113,0.33997
2456,P3,45,Crowded,-82,1.71,13.65,0.121,0.41169
2457,P3,35,Lobby,-58,8.82,70.55,0.120,0.40816
2458,N12,40,Workshop,-81,0.70,5.60,0.106,0.35171
2459,P6,5,Wall,-83,0.70,5.60,0.123,0.40959
2460,P6,35,Workshop,-58,6.14,49.10,0.122,0.41221
2461,N9,20,Workshop,-80,4.70,37.62,0.100,0.32727
2462,P6,15,Lobby,-51,7.59,60.73,0.127,0.40169
2463,N3,15,Lobby,-81,1.76,14.05,0.108,0.36258
2464,N0,60,Lobby,-91,2.11,16.90,0.115,0.36001
2465,P3,25,Lobby,-70,0.70,5.60,0.116,0.38837
2466,N0,40,Wall,-87,1.38,11.08,0.118,0.36235
2467,P3,30,Lobby,-56,7.69,61.55,0.114,0.41426
2468,N6,45,Crowded,-87,0.87,6.98,0.113,0.34073
2469,N6,45,Lobby,-90,1.63,13.00,0.103,0.34480
2470,N12,25,Workshop,-89,0.70,5.60,0.105,0.34642
2471,N12,40,Lobby,-87,2.28,18.25,0.104,0.33930
2472,N6,45,Crowded,-95,0.70,5.60,0.104,0.33744
2473,N6,30,Workshop,-88,0.70,5.60,0.106,0.35172
2474,N6,15,Crowded,-85,1.56,12.45,0.100,0.34952
2475,P3,40,Lobby,-81,1.30,10.40,0.118,0.39507
2476,N3,45,Lobby,-75,6.43,51.40,0.107,0.37991
2477,N12,0,Workshop,-64,11.37,90.97,0.101,0.34675
2478,P3,40,Lobby,-56,6.01,48.06,0.121,0.38433
2479,N12,55,Wall,-100,1.48,11.87,0.106,0.33937
2480,N12,55,Crowded,-100,1.29,10.32,0.105,0.34014
2481,N12,0,Wall,-61,6.32,50.57,0.104,0.34550
2482,N6,35,Lobby,-77,4.43,35.47,0.103,0.34086
2483,N12,5,Workshop,-65,9.25,74.03,0.104,0.35220
2484,N6,5,Crowded,-85,2.67,21.33,0.102,0.34920
2485,N12,5,Wall,-98,0.83,6.65,0.104,0.34326
2486,N6,25,Crowded,-89,1.17,9.40,0.107,0.34656
2487,N6,15,Wall,-77,2.71,21.70,0.098,0.34412
2488,N6,40,Lobby,-90,1.21,9.66,0.105,0.34972
2489,P6,25,Wall,-98,0.70,5.60,0.125,0.40631
2490,N6,20,Lobby,-67,5.41,43.29,0.110,0.33764
2491,N9,50,Workshop,-76,4.22,33.77,0.101,0.31784
2492,N9,30,Wall,-100,0.86,6.89,0.097,0.34471
2493,N6,25,Workshop,-92,2.04,16.34,0.110,0.33848
2494,N12,10,Wall,-95,1.27,10.19,0.105,0.34749
2495,N9,45,Crowded,-100,1.75,13.99,0.100,0.33624
2496,N6,40,Wall,-100,1.95,15.60,0.108,0.35793
2497,N3,45,Lobby,-67,6.12,48.93,0.105,0.34790
2498,N9,10,Lobby,-80,3.52,28.15,0.097,0.34025
2499,P3,0,Wall,-60,6.14,49.13,0.122,0.38970
2500,N12,60,Lobby,-84,1.37,10.94,0.103,0.34307
2501,N6,25,Wall,-100,0.70,5.60,0.104,0.33913
2502,N3,45,Lobby,-92,1.64,13.10,0.116,0.36509
2503,N0,40,Lobby,-82,2.60,20.81,0.112,0.36865
2504,P6,25,Workshop,-63,11.11,88.85,0.125,0.40984
2505,N6,35,Workshop,-89,2.84,22.76,0.103,0.33442
2506,N6,40,Lobby,-82,3.46,27.67,0.107,0.34741
2507,N6,0,Lobby,-34,12.26,98.05,0.106,0.34835
2508,P3,0,Lobby,-35,12.22,97.77,0.116,0.38738
2509,N0,25,Lobby,-84,1.60,12.81,0.112,0.37226
2510,N12,10,Workshop,-93,0.70,5.60,0.105,0.33956
2511,P6,40,Workshop,-74,4.39,35.12,0.127,0.42117
2512,N12,60,Lobby,-100,0.70,5.60,0.110,0.32159
2513,N9,40,Workshop,-100,0.70,5.60,0.105,0.31976
2514,N12,40,Crowded,-91,1.71,13.69,0.099,0.34914
2515,N0,55,Lobby,-94,1.25,10.00,0.108,0.37233
2516,N9,25,Crowded,-91,0.96,7.65,0.103,0.33785
2517,P6,20,Wall,-99,1.17,9.32,0.125,0.40421
2518,N12,40,Workshop,-92,0.70,5.60,0.105,0.34944
2519,N12,20,Crowded,-100,1.20,9.62,0.104,0.33094
2520,N3,55,Workshop,-95,1.63,13.02,0.108,0.35889
2521,N6,0,Lobby,-48,10.28,82.21,0.106,0.35054
2522,P3,10,Workshop,-52,9.51,76.07,0.121,0.39354
2523,N0,15,Crowded,-83,3.89,31.09,0.112,0.37836
2524,N9,35,Lobby,-88,2.69,21.48,0.101,0.34458
2525,N6,55,Lobby,-70,5.24,41.89,0.106,0.34961
2526,N3,45,Workshop,-66,10.54,84.29,0.113,0.37126
2527,P3,5,Workshop,-48,10.62,84.96,0.125,0.40805
2528,N6,0,Crowded,-57,7.89,63.16,0.103,0.33403
2529,P3,35,Crowded,-73,8.84,70.69,0.125,0.39876
2530,P3,40,Crowded,-100,2.03,16.27,0.115,0.40907
2531,N6,60,Crowded,-100,0.70,5.60,0.107,0.35077
2532,N9,5,Workshop,-74,5.36,42.90,0.098,0.34744
2533,N0,25,Workshop,-91,0.70,5.60,0.115,0.37959
2534,N12,5,Wall,-95,0.97,7.76,0.097,0.33388
2535,N6,40,Workshop,-77,3.87,30.96,0.107,0.35125
2536,P3,10,Lobby,-65,10.29,82.30,0.116,0.39757
2537,N6,10,Lobby,-78,4.16,33.28,0.101,0.34990
2538,N3,40,Workshop,-71,7.35,58.81,0.108,0.36752
2539,N6,45,Workshop,-98,1.75,14.00,0.101,0.34092
2540,P3,5,Lobby,-62,9.22,73.80,0.129,0.40480
2541,N0,20,Wall,-95,0.70,5.60,0.110,0.36191
2542,N0,5,Lobby,-59,6.62,52.93,0.112,0.37627
2543,P3,40,Lobby,-76,3.01,24.10,0.123,0.40330
2544,N3,15,Lobby,-56,6.54,52.29,0.116,0.37597
2545,N6,40,Workshop,-81,1.51,12.10,0.101,0.34605
2546,N0,25,Lobby,-56,11.30,90.37,0.113,0.38597
2547,N3,15,Lobby,-88,1.14,9.12,0.112,0.35809
2548,N12,50,Workshop,-99,0.70,5.60,0.107,0.35091
2549,P6,20,Lobby,-52,10.82,86.58,0.123,0.40840
2550,N6,0,Wall,-34,12.69,101.48,0.102,0.33419
2551,N12,0,Workshop,-56,6.46,51.72,0.105,0.34787
2552,N12,20,Workshop,-82,1.96,15.68,0.105,0.34845
2553,P3,45,Workshop,-72,7.19,57.55,0.119,0.39540
2554,N12,25,Wall,-100,2.33,18.64,0.103,0.34587
2555,P3,0,Workshop,-34,12.75,102.00,0.125,0.39214
2556,P3,20,Lobby,-57,8.58,68.67,0.123,0.40602
2557,N6,15,Lobby,-87,2.47,19.79,0.105,0.33636
2558,N3,30,Workshop,-78,3.11,24.89,0.116,0.36714
2559,N6,45,Crowded,-100,1.59,12.76,0.107,0.35783
2560,N6,60,Lobby,-79,3.97,31.79,0.103,0.35794
2561,N6,25,Lobby,-90,0.77,6.14,0.108,0.33520
2562,N6,35,Lobby,-98,2.00,16.02,0.104,0.35871
2563,N12,0,Lobby,-53,10.41,83.28,0.103,0.35730
2564,N6,15,Lobby,-72,4.91,39.30,0.108,0.35663
2565,N6,50,Lobby,-67,4.13,33.01,0.103,0.35405
2566,N3,0,Wall,-67,5.25,41.99,0.113,0.38414
2567,N9,40,Workshop,-85,1.61,12.89,0.100,0.33435
2568,N0,35,Workshop,-86,0.70,5.60,0.116,0.36817
2569,P3,40,Lobby,-79,4.12,32.94,0.116,0.40213
2570,N12,15,Lobby,-68,4.08,32.64,0.104,0.34258
2571,P6,10,Workshop,-46,9.96,79.67,0.128,0.41178
2572,N12,50,Wall,-100,0.70,5.60,0.099,0.35136
2573,N6,25,Lobby,-84,0.70,5.60,0.105,0.34574
2574,N3,20,Crowded,-95,0.70,5.60,0.112,0.36479
2575,N9,40,Lobby,-79,2.11,16.90,0.101,0.33040
2576,N12,10,Crowded,-99,0.70,5.60,0.103,0.34134
2577,P6,0,Workshop,-34,12.93,103.40,0.126,0.41909
2578,N3,0,Crowded,-48,11.60,92.83,0.109,0.36232
2579,N12,20,Lobby,-84,2.82,22.56,0.107,0.35763
2580,N12,15,Workshop,-100,0.73,5.85,0.100,0.33522
2581,N0,15,Workshop,-56,8.24,65.92,0.115,0.36698
2582,N0,35,Workshop,-81,3.00,23.97,0.111,0.36664
2583,P6,35,Workshop,-75,1.19,9.49,0.120,0.40316
2584,P6,35,Workshop,-61,8.51,68.11,0.120,0.40743
2585,N0,5,Lobby,-63,6.12,48.99,0.116,0.36864
2586,N3,20,Lobby,-67,11.48,91.81,0.107,0.36712
2587,P3,5,Workshop,-53,11.45,91.58,0.121,0.40934
2588,N12,40,Lobby,-94,1.76,14.12,0.097,0.35972
2589,N6,10,Lobby,-51,7.46,59.68,0.109,0.34706
2590,N9,45,Workshop,-83,0.70,5.60,0.102,0.33008
2591,P3,35,Lobby,-80,2.46,19.65,0.123,0.40222
2592,N3,40,Lobby,-81,2.94,23.54,0.114,0.35844
2593,N0,15,Lobby,-60,8.67,69.37,0.119,0.37529
2594,N3,15,Lobby,-71,6.59,52.69,0.110,0.37161
2595,N3,15,Crowded,-98,0.70,5.60,0.111,0.36126
2596,N12,20,Crowded,-100,0.70,5.60,0.107,0.33965
2597,P3,55,Crowded,-92,1.23,9.86,0.119,0.40052
2598,N6,40,Crowded,-100,1.65,13.22,0.101,0.35884
2599,N12,5,Workshop,-60,4.31,34.48,0.109,0.34803
2600,P6,30,Workshop,-84,2.33,18.66,0.123,0.40958
2601,P3,45,Wall,-100,0.70,5.60,0.118,0.41096
2602,N12,45,Workshop,-87,1.07,8.58,0.104,0.34283
2603,P3,45,Wall,-100,1.07,8.55,0.122,0.39258
2604,N6,50,Wall,-100,1.80,14.43,0.101,0.34661
2605,P3,40,Workshop,-70,4.13,33.00,0.123,0.40906
2606,N12,45,Crowded,-100,0.97,7.79,0.100,0.34940
2607,P6,40,Crowded,-64,6.22,49.73,0.122,0.40379
2608,N12,35,Lobby,-100,1.51,12.12,0.105,0.34772
2609,N12,15,Lobby,-66,8.19,65.51,0.104,0.33152
2610,P3,25,Lobby,-72,5.46,43.65,0.120,0.39800
2611,P6,15,Lobby,-69,4.42,35.35,0.125,0.39416
2612,N6,0,Wall,-65,10.57,84.56,0.107,0.35734
2613,N9,40,Workshop,-88,0.70,5.60,0.098,0.34843
2614,N12,35,Wall,-100,0.70,5.60,0.105,0.32770
2615,N12,55,Lobby,-97,1.91,15.25,0.107,0.34278
2616,N9,20,Crowded,-85,1.45,11.63,0.103,0.32563
2617,P6,5,Crowded,-48,9.92,79.39,0.123,0.41492
2618,P3,45,Workshop,-68,4.01,32.09,0.119,0.38771
2619,N12,35,Lobby,-83,0.91,7.32,0.096,0.34896
2620,N12,45,Workshop,-85,2.15,17.17,0.107,0.34472
2621,N3,50,Crowded,-88,0.70,5.60,0.114,0.35715
2622,P3,20,Workshop,-59,5.97,47.76,0.116,0.41163
2623,N3,40,Wall,-100,2.91,23.31,0.112,0.37123
2624,N12,20,Wall,-96,0.96,7.68,0.099,0.33402
2625,N9,50,Workshop,-95,1.02,8.19,0.097,0.33076
2626,N12,25,Lobby,-87,1.11,8.85,0.106,0.33554
2627,N3,5,Wall,-68,7.34,58.71,0.111,0.35984
2628,P3,40,Workshop,-79,1.66,13.26,0.117,0.40372
2629,N3,10,Wall,-100,1.85,14.83,0.109,0.36809
2630,N12,35,Lobby,-100,0.70,5.60,0.104,0.33887
2631,N6,15,Workshop,-68,4.10,32.81,0.102,0.35254
2632,N3,25,Lobby,-86,1.08,8.67,0.116,0.37737
2633,P3,60,Lobby,-74,6.76,54.11,0.122,0.38965
2634,N12,0,Workshop,-48,10.68,85.43,0.103,0.33170
2635,N3,20,Workshop,-78,4.67,37.36,0.112,0.37251
2636,N3,20,Lobby,-73,1.30,10.42,0.112,0.36772
2637,N9,40,Workshop,-92,1.50,12.04,0.101,0.32724
2638,N0,35,Workshop,-93,0.84,6.75,0.120,0.38012
2639,P3,20,Workshop,-52,9.17,73.39,0.122,0.39647
2640,N3,25,Workshop,-82,2.51,20.11,0.113,0.35963
2641,N6,50,Crowded,-100,1.46,11.67,0.107,0.35912
2642,N3,5,Lobby,-55,11.28,90.26,0.115,0.37775
2643,N6,55,Workshop,-88,1.80,14.39,0.104,0.34306
2644,N3,5,Crowded,-66,13.70,109.60,0.107,0.36756
2645,P3,55,Wall,-100,0.70,5.60,0.116,0.39008
2646,N9,20,Wall,-100,0.70,5.60,0.100,0.33928
2647,N3,15,Workshop,-61,6.45,51.56,0.109,0.36894
2648,P6,15,Wall,-91,2.64,21.13,0.124,0.40239
2649,P3,35,Workshop,-86,1.58,12.67,0.123,0.40982
2650,N12,55,Lobby,-99,0.70,5.60,0.108,0.32851
2651,N12,30,Crowded,-100,2.34,18.70,0.100,0.33117
2652,N6,60,Lobby,-98,1.60,12.82,0.108,0.34246
2653,N0,25,Lobby,-65,5.39,43.11,0.113,0.38224
2654,N6,40,Workshop,-75,2.37,18.96,0.103,0.34834
2655,N3,0,Workshop,-50,10.63,85.04,0.109,0.36453
2656,N6,40,Lobby,-87,0.70,5.60,0.107,0.34849
2657,P6,25,Workshop,-62,7.87,62.95,0.117,0.42343
2658,N6,35,Wall,-100,1.15,9.17,0.108,0.34514
2659,N12,25,Workshop,-92,0.91,7.30,0.104,0.34920
2660,P3,35,Lobby,-64,6.27,50.13,0.119,0.39527
2661,N12,55,Workshop,-94,1.17,9.38,0.103,0.35045
2662,N12,15,Lobby,-80,5.30,42.38,0.101,0.34484
2663,N6,35,Lobby,-92,1.71,13.68,0.104,0.34495
2664,N3,20,Wall,-87,1.55,12.39,0.112,0.37208
2665,P3,30,Wall,-88,0.70,5.60,0.120,0.38719
2666,N0,30,Wall,-88,2.01,16.11,0.107,0.36322
2667,N6,30,Crowded,-79,4.15,33.18,0.108,0.34526
2668,N6,25,Wall,-92,2.42,19.35,0.107,0.34115
2669,N3,25,Workshop,-91,1.90,15.17,0.117,0.36474
2670,N6,25,Workshop,-70,2.92,23.36,0.100,0.35245
2671,N12,15,Crowded,-100,1.80,14.39,0.101,0.34678
2672,N6,30,Crowded,-83,2.17,17.36,0.099,0.33801
2673,N12,60,Workshop,-95,0.70,5.60,0.109,0.33604
2674,N3,40,Workshop,-73,3.65,29.20,0.108,0.35843
2675,N12,40,Lobby,-100,0.70,5.60,0.101,0.33910
2676,P6,15,Wall,-88,1.72,13.72,0.122,0.40753
2677,N3,45,Wall,-100,1.69,13.49,0.115,0.37600
2678,N12,0,Workshop,-51,7.59,60.74,0.101,0.34733
2679,N0,0,Wall,-45,8.32,66.59,0.116,0.38195
2680,N3,25,Lobby,-78,3.98,31.82,0.115,0.36199
2681,N6,15,Workshop,-58,6.18,49.40,0.105,0.34393
2682,N3,0,Lobby,-34,12.61,100.90,0.109,0.35296
2683,N9,40,Workshop,-100,0.70,5.60,0.103,0.33584
2684,N6,20,Wall,-100,1.21,9.66,0.103,0.33411
2685,P6,45,Lobby,-80,2.28,18.24,0.127,0.41338
2686,N6,30,Wall,-100,0.76,6.09,0.107,0.34753
2687,N6,5,Workshop,-68,7.45,59.62,0.104,0.33144
2688,N6,30,Lobby,-85,0.70,5.60,0.106,0.34671
2689,N12,35,Lobby,-99,2.45,19.56,0.106,0.33763
2690,N3,0,Crowded,-55,8.88,71.04,0.112,0.37064
2691,N3,40,Workshop,-76,1.88,15.07,0.111,0.37341
2692,P6,0,Lobby,-34,12.34,98.70,0.122,0.41728
2693,N3,40,Crowded,-89,0.70,5.60,0.105,0.38960
2694,N12,45,Lobby,-100,0.98,7.87,0.106,0.34011
2695,N6,20,Lobby,-75,6.76,54.10,0.101,0.36626
2696,P3,10,Lobby,-56,7.99,63.95,0.120,0.39755
2697,N6,40,Wall,-100,1.28,10.26,0.107,0.33870
2698,N3,0,Lobby,-39,12.57,100.55,0.110,0.35681
2699,P6,5,Wall,-66,9.64,77.13,0.124,0.42667
